material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-14070,RbAlO2,3.59138436,-6.51667368,1.64583898,0,3.3716,24.01298233,RbAlO2,1262.97,1300,1523.67,100,0.232017,100,0.106518974
mp-6955,KGeNO,3.738078461,-6.033515938,1.1874323,0,2.6817,8.63736053,KGeNO,1215.45,1000,724.358,100,0.130728,100,0.066591473
mp-27694,H3ClO5,1.9087335,-4.906282159,-1.50454795,0,5.4926,4.975300467,H3ClO5,1318.4,1300,229.439,100,0.0272522,100,0.148809226
mp-37091,Sr(AlTe2)2,4.521575918,-4.183432127,3.56022874,0,1.4454,12.94836629,Sr(AlTe2)2,1093.66,700,4830.46,100,1.87214,100,0.018829374
mp-755013,Li5TaO5,4.429785748,-6.848967358,0.71831651,0,3.4293,22.80021312,Li5TaO5,1311.39,1300,1493.37,100,0.306439,100,0.08522302
mp-510076,Rb7Au5O2,5.732189043,-3.060429541,0.77686204,0,0.6268,10.88956884,Rb7Au5O2,1033.4,200,1477.46,1300,0.129557,100,0.132096187
mp-1634,MoSe2,5.692222801,-6.933359703,3.8297572,0.000184727,1.301,11.73284936,MoSe2,1109.52,600,2679.04,100,0.544149,100,0.032870034
mp-11321,Y3TaO7,6.158510119,-9.828894437,2.26579949,0,3.2385,23.82490081,Y3TaO7,1210.13,1300,1478.98,100,0.278841,100,0.078984072
mp-35208,NdOF,6.585385433,-7.979555413,1.41500962,0.054301107,5.2617,15.66090696,NdOF,1406.9,1300,626.832,100,0.110902,100,0.113764834
mp-8276,Sr(ZnP)2,4.453666408,-3.698107004,3.77766337,0,0.8279,19.66934646,Sr(ZnP)2,904.174,400,6108.03,100,1.29512,100,0.015682849
mp-18779,Na2CrO4,2.666880382,-6.572910433,-0.62033101,0,2.6713,10.25176572,Na2CrO4,1247.27,1000,730.698,100,0.138508,100,0.066764223
mp-555070,BaBe2(BO3)2,3.641640861,-7.88822882,1.27251551,0,5.3821,10.09168746,BaBe2(BO3)2,1228.17,1300,1065.72,100,0.184861,100,0.088426937
mp-3288,CsNO2,3.442763649,-6.053319933,0.32511465,0,2.3632,8.07261538,CsNO2,1206.99,800,459.465,100,0.0843213,100,0.053814712
mp-561305,BaZnSiO4,4.493110532,-6.998581681,1.09193041,0.010555356,3.5871,10.55625397,BaZnSiO4,1303.93,1200,619.64,100,0.0774866,600,0.175127171
mp-15703,BeCN2,3.291339714,-7.973001791,6.77906585,0.003604671,3.8513,7.1485121,BeCN2,1212.37,1300,3260.65,200,0.889414,100,0.058447926
mp-15703,BeCN2,3.291339714,-7.973001791,6.77906585,0.003604671,3.8513,7.1485121,BeCN2,1212.37,1300,3260.65,200,0.889414,100,0.058447926
